,Üldinfo,aadress,date,ID,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Hoone,Katastritunnus,Energiamärgis,Materjal,Ehitusaasta,Lisaruumid,Tehnosüsteemid,Küte,Sanitaar,Pliit,Side,Parkimine,Lisainfo,Ventilatsioon,Köögi pind,Lift,Katus,Kinnistu number,tasuta parkimine,Krunt,Suve kommunaalid,Talve kommunaalid,tasuline parkimine,Saadaval,Lisanduvad kommunaalid,Tagatisraha,KM,Sihtotstarve,Parkimiskohti,Lisanduvad kommunaalkulud,Maakleritasu,Piirangud
0,Üldinfo,"Hanijala tn 7,Haabersti linnaosa, Tallinn, Harju maakond",5/27/2022,1515806,"uus viimistlus,uusehitis,valmis,renoveeritud",4,3,1,94.5 m²,klaasitud rõdu,11.7,1,4,korteriomand,"trepikoda lukus,turvauks",mööbel,234 600 €,2 482.54 €/m²,"737 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78406:612:0026,D,"paneelmaja,kivimaja",2008,"panipaik,garderoob",Tehnosüsteemid,"keskküte,põrandaküte,gaasiküte","vann,dušš,tsentraalne kanalisatsioon",elektripliit,internet,,,,,,,,,,,,,,,,,,,,,
1,Üldinfo,"Malmi tn 3/2,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",5/27/2022,4251587,,3,2,1,53.7 m²,,,2,4,,,,214 000 €,3 985.10 €/m²,"672 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78408:801:2040,C,kivimaja,1930,panipaik,Tehnosüsteemid,,,elektripliit,,,,,,,,,,,,,,,,,,,,,,
2,Üldinfo,"Jaama tn 3-11,Lagedi alevik, Rae vald, Harju maakond",5/27/2022,4535431,uusehitis,3,2,1,51.2 m²,rõdu,10.5,2,2,korteriomand,,mööbel,249 000 €,,"782 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,65301:001:5073,A,kivimaja,2022,panipaik,Tehnosüsteemid,maaküte,dušš,,,kindel parkimiskoht kinnistul,Uuri lähemalt,sundventilatsioon,,,,,,,,,,,,,,,,,,
3,Üldinfo,"Uus-Tatari tn 23,Kesklinna linnaosa, Tallinn, Harju maakond",5/27/2022,5766953,"valmis,uus viimistlus,renoveeritud,san remont tehtud",3,2,1,87 m²,prantsuse rõdu,,3,7,korteriomand,"turvauks,videokaamerad,trepikoda lukus","mööbel,mööbli võimalus",350 000 €,4 022.99 €/m²,"1 100 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,78401:110:2820,D,"kivimaja,betoonmaja",2005,"kelder,panipaik,garderoob",Tehnosüsteemid,keskküte,"vann,dušš,wc ja vannituba eraldi",elektripliit,"digi-TV,internet","kindel parkimiskoht kinnistul,tasuta parkimine",,,20,jah,bituumen,,,,,,,,,,,,,,,
4,Üldinfo,"Pille tn 4/1, Uus-Veerenni,Kesklinna linnaosa, Tallinn, Harju maakond",5/27/2022,6521819,"uusehitis,valmis",3,2,1,65.9 m²,terrass,10.8,1,4,korteriomand,"videokaamerad,trepikoda lukus,turvauks","mööbel,Lemmikloomad lubatud,TV,külmik",350 000 €,5 311.08 €/m²,"1 100 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,B,paneelmaja,2021,panipaik,Tehnosüsteemid,"põrandaküte,keskküte","dušš,pesumasin,tsentraalne kanalisatsioon",elektripliit,"internet,digi-TV","tasuta parkimine,kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis",,sundventilatsioon,,,pvc,,,,,,,,,,,,,,,
5,Üldinfo,"Valdeku tn 6,Nõmme linnaosa, Tallinn, Harju maakond",5/27/2022,1169871,valmis,4,3,,133 m²,,,1,2,korteriomand,"trepikoda lukus,turvauks","mööbel,mööbli võimalus,külmik",350 000 €,2 631.58 €/m²,"1 100 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,,kivimaja,2007,panipaik,Tehnosüsteemid,"õhksoojuspump,põrandaküte,gaasiküte","dušš,saun,pesumasin,vann",,,,,,,,,0,jah,,,,,,,,,,,,,
6,Üldinfo,"Saue tn 7,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",5/27/2022,4946185,renoveeritud,4,2,,93.6 m²,rõdu,,2,3,korteriomand,trepikoda lukus,"mööbel,mööbli võimalus,külmik",353 000 €,3 771.37 €/m²,"1 109 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,D,puitmaja,1935,panipaik,Tehnosüsteemid,"kamin,gaasiküte","pesumasin,vann,dušš",,,,,,,,,0,jah,,,,,,,,,,,,,
7,Üldinfo,"Heldri tee 53,Haabneeme alevik, Viimsi vald, Harju maakond",5/27/2022,3382387,,4,3,1,89.6 m²,rõdu,11.5,2,4,korteriomand,"trepikoda lukus,turvauks,turvasüsteem",mööbli võimalus,239 000 €,2 667.41 €/m²,"751 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,89001:010:3732,energiamärgis määramata,paneelmaja,2007,panipaik,Tehnosüsteemid,"keskküte,põrandaküte","dušš,pesumasin,tsentraalne kanalisatsioon,saun",elektripliit,"digi-TV,telefon,internet",kindel parkimiskoht kinnistul,,,,jah,,9942402,,,,,,,,,,,,,,
8,Üldinfo,"Soo tn 13,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",5/27/2022,3559223,renoveeritud,3,1,,61 m²,,,1,2,kaasomand,turvauks,"mööbel,külmik",149 000 €,2 442.62 €/m²,"468 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,,puitmaja,1910,,Tehnosüsteemid,"põrandaküte,gaasiküte,kamin","dušš,saun,wc ja vannituba eraldi,pesumasin",,,,,,,,,0,,,,,,,,,,,,,,
9,Üldinfo,"Loitsu tn 4,Lasnamäe linnaosa, Tallinn, Harju maakond",5/27/2022,3445786,renoveeritud,1,1,,32.8 m²,rõdu,,2,5,korteriomand,"trepikoda lukus,turvauks",külmik,99 000 €,3 018.29 €/m²,"311 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",Hoone,,D,paneelmaja,1981,panipaik,Tehnosüsteemid,"keskküte,põrandaküte","vann,pesumasin,dušš",,,,,,,,,0,,,,,,,,,,,,,,
