,ID,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Hind / m²,Suve kommunaalid,Talve kommunaalid,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Katastritunnus,Kinnistu number,Energiamärgis,Materjal,Küte,Sanitaar,Side,Köögi pind,Rõdu,Rõdu pind,Ehitusaasta,Lisaväärtused,Parkimine,Lisaruumid,Ventilatsioon,Vannitube,Pliit,Saadaval,Lisainfo,Lift,Krunt,Katus,Lisanduvad kommunaalid,Tagatisraha,Maakleritasu,tasuta parkimine,Lisanduvad kommunaalkulud,Parkimiskohti,tasuline parkimine,Piirangud,Sihtotstarve,KM,Detailplaan,maakond
0,1106721,"Suur-Sõjamäe põik 3-7, Ülemiste,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-16,renoveeritud,1,1,26 m²,2,2,korteriomand,"naabrivalve,turvauks,trepikoda lukus",84 000 €,3 230.77 €/m²,35.00,35.00,"264 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",78403:314:0033,21817601,energiamärgis määramata,kivimaja,"elektriküte,kamin","vann,boiler","kaabel-TV,internet",,,,,,,,,,,,,,,,,,,,,,,,,,,harju
1,1210707,"Pirnipuu pst 194-1, Muuga aedlinn,Maardu linn, Harju maakond",2022-10-16,uusehitis,4,3,101.1 m²,,2,korteriomand,"naabrivalve,turvauks",300 000 €,2 967.36 €/m²,,,"943 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",44601:007:0247,,A,kivimaja,õhksoojuspump,"dušš,wc ja vannituba eraldi,saun",,8.20,rõdu,5.40,2023,,,,,,,,,,,,,,,,,,,,,,,harju
2,7109677,"Pallasti tn 8,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-16,valmis,1,,30.1 m²,4,5,korteriomand,"turvauks,trepikoda lukus",85 000 €,2 823.92 €/m²,,,"267 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",78403:301:0028,0,F,kivimaja,keskküte,dušš,,,,,1973,,,,,,,,,,,,,,,,,,,,,,,harju
3,8611451,"Tammiku põik 3/1,Peetri alevik, Rae vald, Harju maakond",2022-10-16,valmis,4,,93.2 m²,2,2,korteriomand,"trepikoda lukus,naabrivalve,turvauks",298 000 €,3 197.42 €/m²,,,"936 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,D,kivimaja,"gaasiküte,põrandaküte","vann,dušš,wc ja vannituba eraldi,pesumasin","internet,telefon",,rõdu,6.60,2015,mööbel,"kindel parkimiskoht kinnistul,parkla",panipaik,sundventilatsioon,,,,,,,,,,,,,,,,,,,harju
4,8373009,"Aia tn 3,Kehra linn, Harju maakond",2022-10-16,"vajab renoveerimist,valmis",2,1,39.6 m²,2,4,korteriomand,"turvauks,trepikoda lukus",39 500 €,997.47 €/m²,60.00,120.00,"124 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",29001:005:0480,,energiamärgis määramata,kivimaja,keskküte,"dušš,tsentraalne kanalisatsioon","telefon,internet,digi-TV",,,,1966,külmik,tasuta parkimine,kelder,,1,gaasipliit,,,,,,,,,,,,,,,,,harju
5,7157256,"Tuula tee 2c-9,Keila linn, Harju maakond",2022-10-16,uusehitis,3,2,54.4 m²,2,3,korteriomand,,179 792 €,,,,"565 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",29601:001:0212,,A,kivimaja,"keskküte,põrandaküte",dušš,,,rõdu,4.00,2022,,kindel parkimiskoht kinnistul,panipaik,,1,,29.09.2022,https://everaus.ee/keilakortermajad/,,,,,,,,,,,,,,,harju
6,8246945,"Tuula tee 2c-6,Keila linn, Harju maakond",2022-10-16,uusehitis,3,2,54.4 m²,3,3,korteriomand,,179 792 €,,,,"565 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",29601:001:0212,,A,kivimaja,"keskküte,põrandaküte",dušš,,,rõdu,4.00,2022,,kindel parkimiskoht kinnistul,panipaik,sundventilatsioon,1,,29.09.2022,https://everaus.ee/keilakortermajad/,,,,,,,,,,,,,,,harju
7,6732513,"Nõmmeliiva tee 3-6,Tänassilma küla, Saku vald, Harju maakond",2022-10-16,uusehitis,2,1,44.7 m²,2,3,korteriomand,trepikoda lukus,169 860 €,3 800 €/m²,,,"534 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,A,kivimaja,"autonoomne küte,keskküte",dušš,,,"rõdu,klaasitud rõdu",4.20,2023,eraldi sissepääs,kindel parkimiskoht kinnistul,panipaik,sundventilatsioon,1,,,https://nommeliiva.ee,,,,,,,,,,,,,,,harju
8,7133632,"Nõmmeliiva tee 3-5,Tänassilma küla, Saku vald, Harju maakond",2022-10-16,uusehitis,3,2,71 m²,2,3,"korteriomand,korteriomand",,241 400 €,3 400 €/m²,,,"758 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,"A,A",kivimaja,"autonoomne küte,keskküte",dušš,,,"rõdu,klaasitud rõdu",4.80,2023,kinnine hoov,kindel parkimiskoht kinnistul,panipaik,sundventilatsioon,1,,,https://nommeliiva.ee,,,,,,,,,,,,,,,harju
9,2805662,"Jalami tn 10/2,Haabersti linnaosa, Tallinn, Harju maakond",2022-10-16,uusehitis,4,,83.8 m²,3,3,korteriomand,,311 000 €,3 711.22 €/m²,,,"977 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,A,kivimaja,,"wc ja vannituba eraldi,dušš,saun",,,rõdu,4.30,2023,mööbli võimalus,parkimiskoht maa-aluses garaažis,,,1,,,Vaata kodulehte siit,jah,,,,,,,,,,,,,,harju
