,ID,Aadress,Kuupaev,Seisukord,Tube,Üldpind,Rõdu pind,Korrus,Korruseid kokku,Lisaväärtused,Hind,Tagatisraha,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Ehitusaasta,Küte,Sanitaar,Pliit,Magamistube,Vannitube,Rõdu,Omandiõigus,Turvasüsteem,Hind / m²,Katastritunnus,Energiamärgis,Materjal,Parkimine,Lisaruumid,Side,Kinnistu number,Katus,Suve kommunaalid,Talve kommunaalid,Köögi pind,tasuta parkimine,Krunt,maakond
0,6573824,"Laane tn 6-4,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,3,56 m²,2.00,2,5,"mööbel,külmik",60 000 €,0.00,"189 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1966,keskküte,"wc ja vannituba eraldi,vann,pesumasin",elektripliit,,,,,,,,,,,,,,,,,,,,voru
1,3418132,"F. R. Kreutzwaldi tn 26-13,Võru linn, Võru maakond",2022-10-16,renoveeritud,2,47 m²,,5,5,mööbli võimalus,54 000 €,,"170 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1972,keskküte,"boiler,wc ja vannituba eraldi,dušš,pesumasin,tsentraalne kanalisatsioon",elektripliit,1,1,rõdu,korteriomand,"trepikoda lukus,naabrivalve,turvauks",1 148.94 €/m²,91901:008:0710,energiamärgis määramata,kivimaja,kindel parkimiskoht kinnistul,kelder,"internet,telefon",,,,,,,,voru
2,8020091,",Võru linn, Võru maakond",2022-10-16,uus viimistlus,4,,,5,5,,90 000 €,0.00,"283 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1976,,,,,,,,,,,,,,,,,,,,,,,voru
3,3460681,"Lembitu tn,Võru linn, Võru maakond",2022-10-16,"renoveeritud,uus viimistlus",2,38.3 m²,,4,4,mööbel,45 960 €,,"144 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1962,keskküte,"boiler,dušš,tsentraalne kanalisatsioon",elektripliit,1,1,,korteriomand,trepikoda lukus,1 200 €/m²,91901:003:0870,energiamärgis määramata,paneelmaja,"garaaž
",kelder,,1337641,plekk,,,,,,voru
4,8084873,"Vilja tn 16-16,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,2,45.6 m²,,2,4,,45 600 €,,"143 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1974,keskküte,"wc ja vannituba eraldi,vann,pesumasin",elektripliit,1,,,korteriomand,trepikoda lukus,1 000 €/m²,91901:005:1070,energiamärgis määramata,paneelmaja,,,,,,50.00,120.00,,,,voru
5,2462938,"Vilja tn 16b,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,2,46.6 m²,3.00,2,4,,46 600 €,,"146 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1973,keskküte,"dušš,wc ja vannituba eraldi,boiler",,1,,rõdu,korteriomand,trepikoda lukus,1 000 €/m²,91901:005:1080,F,paneelmaja,,,kaabel-TV,,,60.00,140.00,,,,voru
6,4156003,"Koreli tn 22-23,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,2,43.8 m²,,4,5,mööbel,42 900 €,,"135 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1990,keskküte,"wc ja vannituba eraldi,vann",,1,,,,"turvauks,trepikoda lukus",979.45 €/m²,91901:011:1270,E,paneelmaja,,,,,,50.00,150.00,,,,voru
7,8659657,"Petseri tn 12-31,Võru linn, Võru maakond",2022-10-16,renoveeritud,2,41.7 m²,,,4,"mööbel,külmik",62 900 €,,"198 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1963,"keskküte,põrandaküte","dušš,boiler,pesumasin",,1,,,korteriomand,"turvauks,trepikoda lukus",1 508.39 €/m²,91901:009:0780,F,paneelmaja,,,kaabel-TV,,,50.00,120.00,,,,voru
8,3732998,"Petseri tn 19,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,1,27.2 m²,,1,5,"mööbel,külmik",38 900 €,,"122 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1970,keskküte,"vann,pesumasin",,,,,korteriomand,trepikoda lukus,1 430.15 €/m²,91901:009:0430,energiamärgis määramata,paneelmaja,,,kaabel-TV,,,,,,,,voru
9,8050417,"Petseri tn 9,Võru linn, Võru maakond",2022-10-16,vajab renoveerimist,1,27.3 m²,,5,5,külmik,38 900 €,,"122 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",1970,keskküte,"dušš,pesumasin",elektripliit,,,,korteriomand,trepikoda lukus,1 424.91 €/m²,91901:009:0370,energiamärgis määramata,paneelmaja,,,kaabel-TV,,,,,,,,voru
