,ID,Aadress,Kuupaev,Seisukord,Tube,Vannitube,Üldpind,Köögi pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Hind / m²,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Katastritunnus,Energiamärgis,Materjal,Ehitusaasta,Parkimine,Katus,Lisaruumid,Küte,Sanitaar,Pliit,Side,Ventilatsioon,Rõdu pind,Tagatisraha,Magamistube,Rõdu,Kinnistu number,Suve kommunaalid,Talve kommunaalid,tasuta parkimine,Krunt,maakond
0,1095994,"Olevi tn 34a-4,Võru linn, Võru maakond",2022-10-22,renoveeritud,2,1,50.7 m²,10.00,2,4,korteriomand,trepikoda lukus,mööbli võimalus,58000,1 143.98 €/m²,"182 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:010:1160,C,kivimaja,1989,parkla,bituumen,"kelder,panipaik",keskküte,vann,elektripliit,telefon,sundventilatsioon,,,,,,,,,,voru
1,6573824,"Laane tn 6-4,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,3,,56 m²,,2,5,,,"mööbel,külmik",60000,,"189 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,,1966,,,,keskküte,"wc ja vannituba eraldi,vann,pesumasin",elektripliit,,,2.00,0.00,,,,,,,,voru
2,3418132,"F. R. Kreutzwaldi tn 26-13,Võru linn, Võru maakond",2022-10-22,renoveeritud,2,1,47 m²,,5,5,korteriomand,"trepikoda lukus,naabrivalve,turvauks",mööbli võimalus,54000,1 148.94 €/m²,"170 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:008:0710,energiamärgis määramata,kivimaja,1972,kindel parkimiskoht kinnistul,,kelder,keskküte,"boiler,wc ja vannituba eraldi,dušš,pesumasin,tsentraalne kanalisatsioon",elektripliit,"internet,telefon",,,,1,rõdu,,,,,,voru
3,8020091,",Võru linn, Võru maakond",2022-10-22,uus viimistlus,4,,,,5,5,,,,90000,,"283 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,,,1976,,,,,,,,,,0.00,,,,,,,,voru
4,3460681,"Lembitu tn,Võru linn, Võru maakond",2022-10-22,"renoveeritud,uus viimistlus",2,1,38.3 m²,,4,4,korteriomand,trepikoda lukus,mööbel,45960,1 200 €/m²,"144 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:003:0870,energiamärgis määramata,paneelmaja,1962,garaaž,plekk,kelder,keskküte,"boiler,dušš,tsentraalne kanalisatsioon",elektripliit,,,,,1,,1337641,,,,,voru
5,2641229,"Kivi tn 16,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,1,,30.7 m²,,1,3,korteriomand,trepikoda lukus,"mööbel,külmik",35900,1 169.38 €/m²,"113 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:001:1030,D,paneelmaja,1982,,,,keskküte,"vann,boiler,pesumasin",elektripliit,kaabel-TV,,,,,,,,,,,voru
6,5017756,"Lembitu tn 4,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,3,,47.5 m²,,2,4,korteriomand,"turvauks,trepikoda lukus",külmik,57900,1 218.95 €/m²,"182 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:003:0860,E,paneelmaja,1962,,,,keskküte,"vann,pesumasin",elektripliit,,,,,2,,,80.00,130.00,,,voru
7,8084873,"Vilja tn 16-16,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,2,,45.6 m²,,2,4,korteriomand,trepikoda lukus,,45600,1 000 €/m²,"143 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:005:1070,energiamärgis määramata,paneelmaja,1974,,,,keskküte,"wc ja vannituba eraldi,vann,pesumasin",elektripliit,,,,,1,,,50.00,120.00,,,voru
8,2462938,"Vilja tn 16b,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,2,,46.6 m²,,2,4,korteriomand,trepikoda lukus,,46600,1 000 €/m²,"146 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:005:1080,F,paneelmaja,1973,,,,keskküte,"dušš,wc ja vannituba eraldi,boiler",,kaabel-TV,,3.00,,1,rõdu,,60.00,140.00,,,voru
9,4156003,"Koreli tn 22-23,Võru linn, Võru maakond",2022-10-22,vajab renoveerimist,2,,43.8 m²,,4,5,,"turvauks,trepikoda lukus",mööbel,42900,979.45 €/m²,"135 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",91901:011:1270,E,paneelmaja,1990,,,,keskküte,"wc ja vannituba eraldi,vann",,,,,,1,,,50.00,150.00,,,voru
