,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Küte,Sanitaar,Vannitube,Lisaväärtused,Lisaruumid,Pliit,Side,Rõdu pind,Tagatisraha,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Lift,Rõdu,Parkimine,Katus,Krunt,Lisanduvad kommunaalkulud,Lisainfo,tasuta parkimine,Ventilatsioon,Parkimiskohti,tasuline parkimine,Lisanduvad kommunaalid,Maakleritasu,Piirangud
0,vajab renoveerimist,2.0,1.0,39.6,2.0,4.0,korteriomand,"turvauks,trepikoda lukus",39500.0,energiamärgis määramata,kivimaja,1966.0,keskküte,dušš,,külmik,,gaasipliit,"telefon,internet,kaabel-TV",,,60.0,120.0,,,,,,,,,,,,,,,
1,uusehitis,4.0,3.0,101.1,,2.0,korteriomand,"naabrivalve,turvauks",315000.0,A,kivimaja,2023.0,õhksoojuspump,"dušš,wc ja vannituba eraldi,saun",,,,,,5.4,,,,,,rõdu,,,,,,,,,,,,
2,uusehitis,4.0,3.0,79.7,3.0,3.0,,,314000.0,B,kivimaja,2022.0,õhk-vesi soojuspump,,1.0,,"panipaik,garderoob",,,8.0,,,,,jah,rõdu,kindel parkimiskoht kinnistul,,,,,,sundventilatsioon,,,,,
3,valmis,2.0,1.0,50.0,10.0,,korteriomand,"trepikoda lukus,turvasüsteem",198000.0,energiamärgis määramata,betoonmaja,2003.0,keskküte,"vann,dušš,pesumasin",1.0,mööbli võimalus,,elektripliit,"internet,digi-TV",,,,,,jah,,parkimiskoht puudub,,,,,,,,,,,
4,"valmis,renoveeritud",2.0,1.0,54.6,5.0,6.0,korteriomand,,246000.0,energiamärgis määramata,"betoonmaja,kivimaja",1921.0,keskküte,"pesumasin,wc ja vannituba eraldi,dušš,tsentraalne kanalisatsioon",1.0,kinnine hoov,garderoob,,"internet,digi-TV",,,,,,jah,,tasuline parkimine,plekk,,,,,,,,,,
5,valmis,2.0,1.0,38.6,3.0,5.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",53000.0,E,paneelmaja,1987.0,keskküte,"dušš,pesumasin",,"mööbel,külmik",,elektripliit,"internet,kaabel-TV",,,40.0,120.0,0,,,,,,,,,,,,,,
6,renoveeritud,1.0,,27.0,5.0,5.0,korteriomand,"turvauks,trepikoda lukus",49500.0,C,paneelmaja,1993.0,keskküte,"dušš,pesumasin",,"mööbel,külmik",,elektripliit,internet,,,50.0,80.0,0,,,,,,,,,,,,,,
7,uusehitis,2.0,1.0,55.9,2.0,3.0,korteriomand,,175900.0,A,paneelmaja,2023.0,gaasiküte,,,,panipaik,,internet,2.8,,,,,,rõdu,,,9690 m²,,,,sundventilatsioon,,,,,
8,valmis,2.0,1.0,49.6,3.0,3.0,korteriomand,"turvauks,trepikoda lukus",127000.0,energiamärgis määramata,kivimaja,2007.0,keskküte,"pesumasin,vann",,"mööbel,külmik",,elektripliit,internet,8.0,,,,,,rõdu,,,,,,,,,,,,
9,,2.0,1.0,43.7,3.0,5.0,korteriomand,"trepikoda lukus,turvauks",116900.0,energiamärgis määramata,paneelmaja,1973.0,keskküte,"pesumasin,dušš,tsentraalne kanalisatsioon",1.0,mööbel,,elektripliit,"internet,digi-TV",,,,,,,rõdu,kindel parkimiskoht kinnistul,rullmaterjal,,,,,sundventilatsioon,,,,,
10,valmis,3.0,2.0,99.9,2.0,5.0,korteriomand,"trepikoda lukus,turvauks",239000.0,E,kivimaja,2006.0,"põrandaküte,keskküte,gaasiküte","pesumasin,vann,wc ja vannituba eraldi",,"mööbel,külmik",,elektripliit,internet,3.7,,,,,jah,rõdu,garaaž,,,,,,,,,,,
11,vajab renoveerimist,2.0,1.0,95.7,,2.0,korteriomand,,275000.0,energiamärgis määramata,,2008.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,valmis,4.0,3.0,93.9,3.0,3.0,,"naabrivalve,turvauks,trepikoda lukus",316000.0,C,kivimaja,2009.0,keskküte,"vann,saun,pesumasin",,"mööbel,külmik",,elektripliit,internet,10.0,,,,,jah,rõdu,,,,,,,,,,,,
13,valmis,3.0,3.0,64.8,,9.0,korteriomand,,133000.0,E,paneelmaja,1987.0,,,,mööbel,,,,3.0,,,,,jah,rõdu,,,,,,,,,,,,
14,vajab kapitaalremonti,2.0,2.0,49.4,7.0,9.0,korteriomand,trepikoda lukus,98000.0,D,paneelmaja,1985.0,keskküte,wc ja vannituba eraldi,,,,elektripliit,kaabel-TV,3.0,,50.0,110.0,,jah,rõdu,,,,,,,,,,,,
15,"uusehitis,uus viimistlus",2.0,1.0,56.6,3.0,13.0,korteriomand,"videokaamerad,trepikoda lukus,turvauks",299000.0,C,paneelmaja,2018.0,"põrandaküte,keskküte","tsentraalne kanalisatsioon,dušš",1.0,,panipaik,elektripliit,"telefon,internet,digi-TV",10.6,,,,9455150,jah,"klaasitud rõdu,rõdu",kindel parkimiskoht kinnistul,,,,,,sundventilatsioon,,,,,
16,valmis,1.0,,32.7,3.0,5.0,korteriomand,,82000.0,D,,1987.0,,,,,,,,,,,,,,,,,,,,,,,,,,
17,vajab renoveerimist,4.0,3.0,91.5,1.0,3.0,korteriomand,turvauks,310000.0,energiamärgis määramata,kivimaja,2012.0,,,,mööbel,,elektripliit,internet,4.7,,,,25884601,,rõdu,,,,,,,,,,,,
18,uusehitis,2.0,1.0,52.4,2.0,3.0,korteriomand,trepikoda lukus,177900.0,A,kivimaja,2022.0,keskküte,dušš,,,,,internet,,,,,,,,,,,,,,sundventilatsioon,,,,,
19,,3.0,2.0,62.4,2.0,3.0,korteriomand,videokaamerad,307944.0,A,kivimaja,2022.0,õhk-vesi soojuspump,"dušš,saun",1.0,"eraldi sissepääs,kinnine hoov",panipaik,,,,,,,,,,kindel parkimiskoht kinnistul,plekk,,,Kalamaja Park Residence,,sundventilatsioon,,,,,
20,uusehitis,2.0,1.0,47.6,3.0,4.0,korteriomand,"naabrivalve,turvauks,trepikoda lukus",175000.0,B,kivimaja,2022.0,põrandaküte,dušš,,külmik,,,"kaabel-TV,internet",3.0,,,,,jah,rõdu,,,,,,,,,,,,
21,renoveeritud,3.0,2.0,65.6,2.0,3.0,korteriomand,,199000.0,E,paneelmaja,2014.0,,,1.0,,panipaik,,,,,,,,,rõdu,,,,,,,,,,,,
22,uusehitis,3.0,2.0,58.9,2.0,3.0,korteriomand,,203000.0,D,,1976.0,,,,,,,,,,,,,,,,,,,,,,,,,,
23,valmis,3.0,2.0,87.6,1.0,3.0,korteriomand,"turvauks,trepikoda lukus",329000.0,D,kivimaja,1959.0,keskküte,"dušš,pesumasin,saun",,külmik,,,"internet,kaabel-TV",,,,,,,,,,,,,,,,,,,
24,renoveeritud,2.0,1.0,52.9,5.0,5.0,korteriomand,"turvauks,trepikoda lukus,naabrivalve",145600.0,,paneelmaja,1991.0,keskküte,"vann,dušš,pesumasin",,"mööbel,külmik",,elektripliit,"internet,kaabel-TV",2.2,,,,,,rõdu,,,,,,,,,,,,
25,renoveeritud,3.0,2.0,47.5,3.0,5.0,korteriomand,"turvauks,trepikoda lukus",178000.0,,kivimaja,1963.0,keskküte,"dušš,pesumasin",,külmik,,,"telefon,internet",,,85.0,150.0,,,,,,,,,,,,,,,
26,valmis,3.0,2.0,83.9,,2.0,korteriomand,"naabrivalve,turvauks",379650.0,energiamärgis määramata,kivimaja,2021.0,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi,vann,pesumasin",,"mööbel,külmik",,,"kaabel-TV,internet",41.2,,,,,,rõdu,,,,,,,,,,,,
27,valmis,4.0,3.0,65.0,6.0,9.0,korteriomand,,125000.0,,paneelmaja,1982.0,keskküte,wc ja vannituba eraldi,,"mööbel,külmik",,elektripliit,,,,,,,jah,,,,,,,,,,,,,
28,valmis,3.0,2.0,65.0,6.0,9.0,,,125000.0,,paneelmaja,1982.0,keskküte,wc ja vannituba eraldi,,"mööbel,külmik",,elektripliit,,,,,,,jah,,,,,,,,,,,,,
29,valmis,2.0,1.0,55.0,2.0,2.0,korteriomand,"naabrivalve,turvauks",199000.0,F,kivimaja,2006.0,põrandaküte,"pesumasin,saun,dušš",,"mööbel,külmik",,elektripliit,"telefon,internet,kaabel-TV",11.0,,65.0,170.0,,,rõdu,,,,,,,,,,,,
