,ID,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Selle objekti kuumakse Luminoris,Tee kodu korda Luminori abil!,Materjal,Ehitusaasta,Lisaruumid,Küte,Sanitaar,Pliit,Side,Vannitube,Hind / m²,Katastritunnus,Energiamärgis,Parkimine,Katus,Ventilatsioon,Köögi pind,Rõdu,Rõdu pind,Kinnistu number,tasuline parkimine,tasuta parkimine,Lift,Lisanduvad kommunaalkulud,Parkimiskohti,Krunt,Lisainfo,Saadaval,Piirangud,maakond
0,4090962,"Kuninga 3, Kesklinn,Pärnu linn, Pärnu maakond",2022-10-23,vajab renoveerimist,3,2,77.9 m²,1,4,korteriomand,"turvauks,trepikoda lukus,naabrivalve","mööbli võimalus,külmik",195000.0,100.00,200.00,0.00,"613 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1940,panipaik,keskküte,"pesumasin,vann",elektripliit,internet,,,,,,,,,,,,,,,,,,,,,parnu
1,5012755,"Telliskivi 30, Ülejõe,Pärnu linn, Pärnu maakond",2022-10-23,vajab kapitaalremonti,2,1,48.9 m²,1,3,korteriomand,,,77000.0,,,0.00,"242 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,1987,,keskküte,,,,,,,,,,,,,,,,,,,,,,,,parnu
2,5873340,"Saare tee 1,Taali küla, Tori vald, Pärnu maakond",2022-10-23,"uus viimistlus,valmis",2,1,40 m²,2,2,korteriomand,"trepikoda lukus,naabrivalve,turvauks",mööbel,52900.0,30.00,30.00,450.00,"166 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,,kelder,"ahjuküte,elektriküte","saun,boiler,dušš,pesumasin,tsentraalne kanalisatsioon","puupliit,elektripliit","internet,telefon,digi-TV",1,1 322.50 €/m²,80803:001:0494,D,kindel parkimiskoht kinnistul,eterniit,sundventilatsioon,,,,,,,,,,,,,,parnu
3,1866829,"Metsa tn 14-86, Mai,Pärnu linn, Pärnu maakond",2022-10-23,renoveeritud,2,1,34 m²,4,5,korteriomand,"trepikoda lukus,naabrivalve,turvauks","mööbel,mööbli võimalus",85000.0,,,,"267 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,1989,kelder,keskküte,"dušš,pesumasin,tsentraalne kanalisatsioon",elektripliit,"internet,digi-TV",1,2 500 €/m²,62513:171:8820,energiamärgis määramata,kindel parkimiskoht kinnistul,rullmaterjal,,9.00,,,,,,,,,,,,,parnu
4,2605110,"Riia mnt 76,Pärnu linn, Pärnu maakond",2022-10-23,uus viimistlus,2,1,40.9 m²,4,4,korteriomand,"trepikoda lukus,turvauks","mööbel,külmik",86000.0,50.00,80.00,0.00,"270 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",kivimaja,1969,panipaik,keskküte,"dušš,pesumasin",,,,,,,,,,,,,,,,,,,,,,,parnu
5,1953378,"Tallinna mnt 87b, Ülejõe,Pärnu linn, Pärnu maakond",2022-10-23,vajab renoveerimist,1,,43 m²,1,,,,,67000.0,,,,"210 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,,"kelder,panipaik",elektriküte,,,,1,1 558.14 €/m²,,energiamärgis määramata,parkla,,,,rõdu,,,,,,,,,,,,parnu
6,7742276,"Rääma tn 7D/1-5,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,2,1,39.4 m²,3,3,korteriomand,,,171000.0,,,,"537 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,2023,,põrandaküte,,,,,4 340.10 €/m²,62401:001:0503,B,,,,,rõdu,34.70,0,jah,,,,,,,,,parnu
7,1812667,"Rääma tn 7D/1-4,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,4,3,74.5 m²,3,3,korteriomand,,,259000.0,,,,"814 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,2023,panipaik,põrandaküte,saun,,,,3 476.51 €/m²,62401:001:0503,B,,,,,rõdu,30.20,0,jah,,,,,,,,,parnu
8,5630532,"Rääma tn 7D/2-8,Pärnu linn, Pärnu maakond",2022-10-23,uusehitis,3,2,57.9 m²,4,4,korteriomand,,,260000.0,,,,"817 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",,2023,,põrandaküte,,,,,4 490.50 €/m²,62401:001:0503,B,,,,,rõdu,24.00,0,jah,,,,,,,,,parnu
9,8254764,"Soo tn 4,Pärnu-Jaagupi alev, Põhja-Pärnumaa vald, Pärnu maakond",2022-10-23,vajab renoveerimist,2,1,50.3 m²,1,3,korteriomand,,,24500.0,,,,"77 €/kuu,Küsi laenupakkumist","Remondilaen kuni ,20 000€,Küsi laenupakkumist",paneelmaja,1973,,elektriküte,wc ja vannituba eraldi,,internet,,487.08 €/m²,62701:003:0163,energiamärgis määramata,,,,,,,,,,,,,,,,,parnu
