,0
0,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-vaksali-tiigi-tn/7278871
1,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-kuperjanovi/6456246
2,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-kalevi-tn/1668620
3,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-nova-tn/2413636
4,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn-/5123421
5,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-haage-kula-haagevalja-tee/5474574
6,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-ujula-poik/7440200
7,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-anne-tn/1142436
8,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kaunase-pst/3150602
9,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-rahinge-kula-kulli-tee/8402453
10,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-eha-tn/6301441
11,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/4876844
12,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-kuuni/2235792
13,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-anne-tn/1949255
14,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-tahtvere-j-hurda/7649699
15,https://city24.ee/real-estate/apartments-for-sale/luunja-vald-roomu-kula-salu-tee/2382524
16,https://city24.ee/real-estate/apartments-for-sale/luunja-vald-roomu-kula-salu-tee/8087059
17,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-vasara-tn/3909718
18,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-vasara-tn/3554140
19,https://city24.ee/real-estate/apartments-for-sale/kastre-vald-vonnu-alevik-tartu-tn/1602154
20,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ropka-toostuse-rahu-tn/2323214
21,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/5219892
22,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/4643979
23,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/3553257
24,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/6811129
25,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe-tn/4852029
26,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-kaupmehe/8674336
27,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-tahtvere-tn/2727188
28,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-vabriku-tn/4879229
29,https://city24.ee/real-estate/apartments-for-sale/elva-vald-ramsi-kula-ramsi-tee/5218159
30,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-tartu-linn-anne-tn/1255259
31,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/6616018
32,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-vase-tn/3741219
33,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-ujula-tn-/3176563
34,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-uus-tn/5968511
35,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-veeriku-ravila-tn/2143357
36,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-salu-tee/6205261
37,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-jaamamoisa-jaama-tn/2725510
38,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-tahtvere-jakobi-tn/3149666
39,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-jakobi-tn/4936879
40,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/4301460
41,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-raadi-kruusamae-erminurme-tee-/5876162
42,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-lepa-tn/7498224
43,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ropka-ropka-tn/1820958
44,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-karlova-teguri-tn/4065373
45,https://city24.ee/real-estate/apartments-for-sale/tartu-vald-vahi-alevik-parna-allee/5651661
46,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ranilinn-aardla-tn/8593117
47,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-ujula-tn/8371634
48,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-supilinn-kroonuaia-tn/6708409
49,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-lutsu-tn/6447004
50,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/9052473
51,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/8321932
52,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kaunase-pst/8903409
53,https://city24.ee/real-estate/apartments-for-sale/elva-vald-rannu-alevik-elva-tee/4181014
54,https://city24.ee/real-estate/apartments-for-sale/kastre-vald-voopste-kula-kasesalu-tee/7627367
55,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-jaamamoisa-ida-tn/1440463
56,https://city24.ee/real-estate/apartments-for-sale/luunja-vald-lohkva-kula-salu-tee/2838736
57,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-salu-tee/8244858
58,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ranilinn-aardla-tn/8684234
59,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-keskuse-tn/3987140
60,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-poe-tn/3382760
61,https://city24.ee/real-estate/apartments-for-sale/tartu-maakond-elva-linn-kesk-tn/5023069
62,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-ulejoe-puiestee-tn/4927847
63,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-vaike-turu-tn/3913361
64,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-kalda-tee/8246069
65,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-annelinn-moisavahe-tn/5894816
66,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-kloostri-tn/1816788
67,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-saarekese-/4778082
68,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-marja-alevik-saarekese-/7890502
69,https://city24.ee/real-estate/apartments-for-sale/tartu-linn-kesklinn-aleksandri-tn/4557119
