,Aadress,Kuupaev,Seisukord,Tube,Magamistube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Lisaväärtused,Hind,Suve kommunaalid,Talve kommunaalid,Energiamärgis,Ehitusaasta,Lift,Küte,Sanitaar,Pliit,Vannitube,Turvasüsteem,Materjal,Side,Ventilatsioon,Omandiõigus,Lisanduvad kommunaalkulud,Lisanduvad kommunaalid,Parkimiskohti,tasuta parkimine,Lisaruumid,tasuline parkimine,Tagatisraha,Krunt,Kinnistu number,Maakleritasu,Parkimine,Katus,Piirangud,Lisainfo,maakond
0,"Aiandi tn,Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,3,2,51.4,rõdu,3.50,2,6,külmik,650.0,175.00,175.00,B,2021,jah,põrandaküte,"dušš,vann,pesumasin",elektripliit,,,,,,,,,,,,,,,,,,,,,harju
1,"Kaupmehe tn 14,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,"uus viimistlus,uusehitis,valmis",3,2,87.29,,,2,6,mööbel,1500.0,,,energiamärgis määramata,1936,jah,keskküte,,elektripliit,1,"trepikoda lukus,turvasüsteem,turvauks",kivimaja,"internet,telefon,digi-TV",konditsioneer,,,,,,,,,,,,,,,,harju
2,"Paepargi tn 43, Sikupilli,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,55.9,,,4,8,"mööbel,külmik",730.0,,,B,2018,jah,keskküte,"dušš,pesumasin",elektripliit,1,"turvasüsteem,turvauks,trepikoda lukus",paneelmaja,kaabel-TV,,korteriomand,Added_to_price,"vesi,küte,elekter",1,jah,panipaik,,,,,,,,,,harju
3,"Vene tn 10, Vanalinn,Vanalinn, Tallinn, Harju maakond",2022-10-24,renoveeritud,1,1,25.0,,,2,3,"mööbel,külmik",550.0,,,,,,gaasiküte,"pesumasin,dušš",,1,trepikoda lukus,kivimaja,internet,,korteriomand,Added_to_price,"elekter,vesi,gaas",,,,jah,,,,,,,,,harju
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
5,"Vene tn 10, Vanalinn,Vanalinn, Tallinn, Harju maakond",2022-10-24,renoveeritud,1,1,30.0,,,1,3,"mööbel,külmik",550.0,,,,,,gaasiküte,"pesumasin,dušš",,1,trepikoda lukus,kivimaja,internet,,korteriomand,Added_to_price,"gaas,elekter,vesi",,,,jah,,,,,,,,,harju
6,"Paekalda tn 14, Lahekalda,Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-24,uusehitis,2,1,41.8,rõdu,,5,5,"mööbel,külmik",720.0,,,B,2022,jah,"keskküte,põrandaküte","dušš,pesumasin",elektripliit,1,"trepikoda lukus,turvauks,turvasüsteem",paneelmaja,kaabel-TV,,korteriomand,Added_to_price,"elekter,küte,vesi",1,jah,panipaik,,,,,,,,,,harju
7,"Pärnu mnt 129c/1, Kitseküla,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,74.0,,,4,7,"mööbel,külmik",890.0,200.00,300.00,B,2010,jah,gaasiküte,"dušš,wc ja vannituba eraldi,saun,pesumasin",,,"naabrivalve,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,telefon,internet",,korteriomand,,,,,,,,,,,,,,,harju
8,"Pirita tee 28a, Kesklinn,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,valmis,3,2,79.2,,,9,11,"mööbel,külmik",1550.0,,,D,2008,jah,"keskküte,põrandaküte","dušš,vann,pesumasin",elektripliit,,"naabrivalve,videokaamerad,turvauks,trepikoda lukus",kivimaja,"kaabel-TV,internet",kliimaseade,korteriomand,,,,,,,0.00,,,,,,,,harju
9,"Kentmanni tn 15,Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-24,renoveeritud,4,3,114.1,,,6,7,mööbel,990.0,,,D,1999,jah,gaasiküte,"wc ja vannituba eraldi,dušš",elektripliit,,"trepikoda lukus,videokaamerad,turvauks",kivimaja,,,korteriomand,,,,,,,,495 m²,1893801,,,,,,harju
