,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Küte,Pliit,Side,Ventilatsioon,Rõdu,Omandiõigus,Lisanduvad kommunaalid,Tagatisraha,Parkimine,Lisaruumid,Sanitaar,Lisanduvad kommunaalkulud,Parkimiskohti,tasuta parkimine,Rõdu pind,tasuline parkimine,Suve kommunaalid,Talve kommunaalid,Krunt,Kinnistu number,Maakleritasu,Katus,Piirangud,Lisainfo,maakond
0,"Kaupmehe tn 14, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,"uus viimistlus,uusehitis,valmis",3,2,1,87.29,2,6,"trepikoda lukus,turvasüsteem,turvauks",mööbel,1450.0,energiamärgis määramata,kivimaja,1936,jah,keskküte,elektripliit,"internet,telefon,digi-TV",konditsioneer,,,,,,,,,,,,,,,,,,,,,harju
1,"Kentmanni tn 9, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uus viimistlus,2,1,1,50.0,,,trepikoda lukus,"eraldi sissepääs,mööbel,Lemmikloomad lubatud,TV,külmik",435.0,B,,,jah,gaasiküte,,"digi-TV,internet",,rõdu,korteriomand,kõik kommunaalteenused,870.00,tasuta parkimine,"kelder,panipaik,garderoob","tsentraalne kanalisatsioon,dušš,pesumasin",,,,,,,,,,,,,,harju
2,"Paepargi tn 43, Sikupilli, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,1,55.9,4,8,"turvasüsteem,turvauks,trepikoda lukus","mööbel,külmik",730.0,B,paneelmaja,2018,jah,keskküte,elektripliit,kaabel-TV,,,korteriomand,"vesi,küte,elekter",,,panipaik,"dušš,pesumasin",Added_to_price,1,jah,,,,,,,,,,,harju
3,"Magasini tn 3j, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,3,2,,79.1,2,3,trepikoda lukus,"mööbel,külmik",1500.0,B,kivimaja,2020,,"põrandaküte,õhksoojuspump",,,,rõdu,korteriomand,,,,,"dušš,wc ja vannituba eraldi,vann,pesumasin",,,,10.50,,,,,,,,,,harju
4,"Vene tn 10, Vanalinn, Vanalinn, Tallinn, Harju maakond","Vanalinn, Tallinn, Harju maakond",2022-10-30,renoveeritud,1,1,1,30.0,1,3,trepikoda lukus,"mööbel,külmik",550.0,,kivimaja,,,gaasiküte,,internet,,,korteriomand,"gaas,elekter,vesi",,,,"pesumasin,dušš",Added_to_price,,,,jah,,,,,,,,,harju
5,"Paekalda tn 14, Lahekalda, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,1,41.8,5,5,"trepikoda lukus,turvauks,turvasüsteem","mööbel,külmik",720.0,B,paneelmaja,2022,jah,"keskküte,põrandaküte",elektripliit,kaabel-TV,,rõdu,korteriomand,"elekter,küte,vesi",,,panipaik,"dušš,pesumasin",Added_to_price,1,jah,,,,,,,,,,,harju
6,"Printsu tee 5/4, Kakumäe, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,"uusehitis,valmis",2,1,,44.5,2,3,"turvauks,trepikoda lukus","mööbel,TV,külmik",700.0,B,kivimaja,2021,,"keskküte,põrandaküte",elektripliit,"telefon,internet,digi-TV",,rõdu,korteriomand,,,"kindel parkimiskoht kinnistul,tasuta parkimine","panipaik,garderoob","dušš,pesumasin",,,,2.00,,80.00,120.00,,,,,,,harju
7,"Kentmanni tn 15, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,4,3,,114.1,6,7,"trepikoda lukus,videokaamerad,turvauks",mööbel,990.0,D,kivimaja,1999,jah,gaasiküte,elektripliit,,,,korteriomand,,,,,"wc ja vannituba eraldi,dušš",,,,,,,,495 m²,1893801,,,,,harju
8,"Lastekodu tn 26, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,,1,,,35.0,5,5,turvauks,"mööbel,mööbli võimalus,TV,külmik",430.0,,,,,keskküte,elektripliit,"digi-TV,telefon,internet",,,,,350.00,,,"pesumasin,dušš,tsentraalne kanalisatsioon",,,,,,,,,,430.00,,,,harju
9,"Gonsiori tn 5, SÜDALINN, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,2,1,1,55.3,5,5,"trepikoda lukus,turvauks","kinnine hoov,mööbel,külmik",550.0,E,kivimaja,1958,,keskküte,elektripliit,"digi-TV,internet",,,korteriomand,kõik kommunaalteenused,550.00,kindel parkimiskoht kinnistul,,"vann,pesumasin,tsentraalne kanalisatsioon,boiler,wc ja vannituba eraldi",,,,,,,,,,550.00,,,,harju
10,"Väike-Sepa tee 4, Viimsi alevik, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2022-10-30,valmis,2,1,,60.4,2,3,trepikoda lukus,"mööbel,külmik",650.0,D,kivimaja,2002,,keskküte,elektripliit,"kaabel-TV,telefon,internet",,rõdu,korteriomand,,,,,"dušš,vann",,,,7.00,,,,,,,,,,harju
11,"Pärnu mnt 131b, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,"renoveeritud,valmis",2,1,1,48.0,3,6,"trepikoda lukus,turvauks,naabrivalve","mööbel,mööbli võimalus,külmik",650.0,E,kivimaja,2005,,"gaasiküte,põrandaküte",elektripliit,"digi-TV,internet,telefon",,rõdu,korteriomand,,650.00,"kindel parkimiskoht kinnistul,garaaž","panipaik,garderoob","vann,pesumasin,tsentraalne kanalisatsioon",,,,10.00,,,,,,650.00,bituumen,,,harju
12,"Sepa tn 24, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,3,2,,76.1,3,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",1350.0,B,kivimaja,2019,jah,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"vann,pesumasin",,,,5.00,,,,,,,,,,harju
13,"Pärnu mnt 110, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,,2,1,,39.3,11,15,"turvauks,trepikoda lukus","mööbel,külmik",650.0,D,kivimaja,2006,jah,"keskküte,põrandaküte",,"kaabel-TV,telefon,internet",,,korteriomand,,,,,"vann,pesumasin",,,,,,,,,,,,,,harju
14,"Pärnu mnt 43b, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,2,1,,55.0,3,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",1590.0,B,kivimaja,2022,jah,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,9.80,,,,,1553401,,,,,harju
15,"Käo tn 22, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,4,3,,129.6,1,2,"naabrivalve,turvauks","mööbel,külmik",2000.0,B,kivimaja,2015,,"gaasiküte,põrandaküte",,"kaabel-TV,telefon,internet",,rõdu,korteriomand,,,,,"dušš,wc ja vannituba eraldi,vann,saun",,,,22.80,,,,,,,,,,harju
16,"Gonsiori tn 14, Kompassi, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,63.9,1,6,"naabrivalve,trepikoda lukus","mööbel,külmik",700.0,F,kivimaja,1930,,keskküte,,,,,korteriomand,,,,,"dušš,pesumasin",,,,,,,,,,,,,,harju
17,"Lasnamäe tn 4A, Sikupilli, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,55.1,11,13,"turvauks,trepikoda lukus","mööbel,külmik",1100.0,B,paneelmaja,2018,jah,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"dušš,pesumasin",,,,11.30,,,,,,,,,,harju
18,"Kentmanni tn 20a, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,renoveeritud,3,2,,141.6,5,6,"naabrivalve,turvauks,trepikoda lukus",mööbel,1400.0,E,kivimaja,1925,,keskküte,,"kaabel-TV,internet",,rõdu,korteriomand,,,,,"dušš,wc ja vannituba eraldi,vann,saun,pesumasin",,,,5.70,,,,,,,,,,harju
19,"Seebi tn 1, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,valmis,2,1,,44.7,8,20,"naabrivalve,videokaamerad,turvauks","mööbel,külmik",900.0,C,paneelmaja,2020,jah,"keskküte,põrandaküte",,internet,,rõdu,,,,,,"dušš,pesumasin",,,,29.90,,230.00,,,,,,,,harju
20,"Seebi tn 1, Kristiine linnaosa, Tallinn, Harju maakond","Kristiine linnaosa, Tallinn, Harju maakond",2022-10-30,uusehitis,3,2,,70.1,8,20,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",1150.0,C,paneelmaja,2020,jah,"keskküte,põrandaküte",,internet,,,,,,,,"dušš,pesumasin",,,,,,188.00,280.00,,,,,,,harju
