,Address,District,Date,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Parkimine,Lisaruumid,Küte,Sanitaar,Pliit,Seisukord,Lisaväärtused,Suve kommunaalid,Talve kommunaalid,Side,Kinnistu number,Krunt,tasuta parkimine,Ventilatsioon,Katus,Lisainfo,Lisanduvad kommunaalid,Lisanduvad kommunaalkulud,Tagatisraha,Maakleritasu,Parkimiskohti,tasuline parkimine,Piirangud,maakond
0,"Järveotsa tee 11, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,1,65.6,rõdu,5.00,7,9,korteriomand,"naabrivalve,trepikoda lukus,videokaamerad,turvauks",127500.0,D,paneelmaja,1977,jah,tasuta parkimine,"panipaik,garderoob",keskküte,"dušš,wc ja vannituba eraldi",elektripliit,,,,,,,,,,,,,,,,,,,harju
1,"Aia tn 3, Kehra linn, Harju maakond","Kehra linn, Harju maakond",2022-10-30,2,1,,39.6,,,2,4,korteriomand,"turvauks,trepikoda lukus",39500.0,energiamärgis määramata,kivimaja,1966,,,,keskküte,dušš,gaasipliit,vajab kapitaalremonti,külmik,60.00,120.00,"telefon,internet,kaabel-TV",,,,,,,,,,,,,,harju
2,"Vilmsi, Kadriorg, Tallinn, Harju maakond","Kadriorg, Tallinn, Harju maakond",2022-10-30,3,2,1,80.9,,,1,2,korteriomand,"trepikoda lukus,naabrivalve,turvasüsteem,videokaamerad",490000.0,B,,2016,,parkimiskoht garaažis,"panipaik,garderoob",gaasiküte,"saun,wc ja vannituba eraldi",elektripliit,uusehitis,"kinnine hoov,mööbel",,,"internet,telefon,digi-TV",,,,,,,,,,,,,,harju
3,"Tartu mnt 16, Maakri, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,1,1,,41.5,,,7,11,korteriomand,"turvauks,trepikoda lukus",229000.0,energiamärgis määramata,paneelmaja,1994,jah,,,gaasiküte,"dušš,pesumasin",,valmis,"mööbel,külmik",,,,,,,,,,,,,,,,,harju
4,"Rae tn 31, Paldiski linn, Harju maakond","Paldiski linn, Harju maakond",2022-10-30,2,1,,38.6,,,3,5,korteriomand,"naabrivalve,turvauks,trepikoda lukus",53000.0,E,paneelmaja,1987,,,,keskküte,"dušš,pesumasin",elektripliit,valmis,"mööbel,külmik",40.00,120.00,"internet,kaabel-TV",0,,,,,,,,,,,,,harju
5,"Rae tn 46, Paldiski linn, Harju maakond","Paldiski linn, Harju maakond",2022-10-30,1,,,27.0,,,5,5,korteriomand,"turvauks,trepikoda lukus",49500.0,C,paneelmaja,1993,,,,keskküte,"dušš,pesumasin",elektripliit,renoveeritud,"mööbel,külmik",50.00,80.00,internet,0,,,,,,,,,,,,,harju
6,"Kentmanni tn 18, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,59.0,,,2,5,korteriomand,"videokaamerad,trepikoda lukus",245000.0,D,kivimaja,1959,,,,keskküte,"dušš,wc ja vannituba eraldi",elektripliit,renoveeritud,mööbel,,,kaabel-TV,10677258,2184 m²,,,,,,,,,,,,harju
7,"Ümera tn 6, Lasnamäe linnaosa, Tallinn, Harju maakond","Lasnamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,2,,49.4,rõdu,3.00,7,9,korteriomand,trepikoda lukus,98000.0,D,paneelmaja,1985,jah,,,keskküte,wc ja vannituba eraldi,elektripliit,vajab kapitaalremonti,,50.00,110.00,kaabel-TV,,,,,,,,,,,,,,harju
8,"Pille tn 4/1-4, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,3,2,,77.5,rõdu,9.30,1,4,korteriomand,trepikoda lukus,410900.0,B,paneelmaja,2022,jah,,,"keskküte,põrandaküte","dušš,wc ja vannituba eraldi",,uusehitis,"mööbel,külmik",,,"kaabel-TV,telefon,internet",,,,,,,,,,,,,,harju
9,"Akadeemia tee 10, Mustamäe, Mustamäe linnaosa, Tallinn, Harju maakond","Mustamäe linnaosa, Tallinn, Harju maakond",2022-10-30,2,1,1,44.1,rõdu,,2,5,korteriomand,"turvauks,trepikoda lukus",114000.0,E,paneelmaja,1963,,,,keskküte,"vann,pesumasin,dušš",gaasipliit,san remont tehtud,"mööbli võimalus,TV,külmik",,,"internet,kaabel-TV",,,jah,,,,,,,,,,,harju
10,"Liivalaia tn 40, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2022-10-30,1,,,34.4,,,8,9,korteriomand,,149000.0,D,kivimaja,1980,,,,,,,,,,,,,,,,,,,,,,,,,harju
