,address,rooms,bedrooms,area,floor,total_floors,price,energy_label,year,maakond,city,district,flag_balcony,flag_lift,flag_shower,flag_bath,flag_sauna,flag_generalheat,flag_floorheat,flag_gasheat,flag_electricalheat,flag_brick,flag_panel,flag_beton,flag_stone,flag_wood,flag_newbuilding,flag_indevelopment,flag_renovated,flag_needsrenovation,zipcode,lat,lng
0,"Järveotsa tee 11, Haabersti linnaosa, Tallinn, Harju maakond",3.0,2.0,65.6,7.0,9.0,127500.0,D,1977.0,harju, Tallinn,Haabersti linnaosa,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13520,59.4082938,24.6359654
1,"Aia tn 3, Kehra linn, Harju maakond",2.0,1.0,39.6,2.0,4.0,39500.0,energiamärgis määramata,1966.0,harju,Kehra linn,Kehra linn,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,59.3496108,25.3247132
2,"Vilmsi, Kadriorg, Tallinn, Harju maakond",3.0,2.0,80.9,1.0,2.0,490000.0,B,2016.0,harju, Tallinn,Kadriorg,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,59.4352282,24.777014
3,"Tartu mnt 16, Maakri, Kesklinna linnaosa, Tallinn, Harju maakond",1.0,1.0,41.5,7.0,11.0,229000.0,energiamärgis määramata,1994.0,harju, Tallinn,Kesklinna linnaosa,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10117,59.4333025,24.7622685
4,"Rae tn 31, Paldiski linn, Harju maakond",2.0,1.0,38.6,3.0,5.0,53000.0,E,1987.0,harju,Paldiski linn,Paldiski linn,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,76805,59.34994700000001,24.058831
5,"Rae tn 46, Paldiski linn, Harju maakond",1.0,1.0,27.0,5.0,5.0,49500.0,C,1993.0,harju,Paldiski linn,Paldiski linn,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,76805,59.34994700000001,24.058831
6,"Kentmanni tn 18, Kesklinna linnaosa, Tallinn, Harju maakond",3.0,2.0,59.0,2.0,5.0,245000.0,D,1959.0,harju, Tallinn,Kesklinna linnaosa,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,10116,59.4308545,24.7510653
7,"Ümera tn 6, Lasnamäe linnaosa, Tallinn, Harju maakond",2.0,2.0,49.4,7.0,9.0,98000.0,D,1985.0,harju, Tallinn,Lasnamäe linnaosa,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,13817,59.4427408,24.8894754
8,"Pille tn 4/1-4, Kesklinna linnaosa, Tallinn, Harju maakond",3.0,2.0,77.5,1.0,4.0,410900.0,B,2022.0,harju, Tallinn,Kesklinna linnaosa,1,1,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,10138,59.42338209999999,24.7475637
9,"Akadeemia tee 10, Mustamäe, Mustamäe linnaosa, Tallinn, Harju maakond",2.0,1.0,44.1,2.0,5.0,114000.0,E,1963.0,harju, Tallinn,Mustamäe linnaosa,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12611,59.3984921,24.668838
