,Address,District,Date,Seisukord,Tube,Magamistube,Vannitube,Üldpind,Korrus,Korruseid kokku,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Katus,Küte,Pliit,Side,Ventilatsioon,Rõdu,Rõdu pind,Omandiõigus,Lisanduvad kommunaalid,Suve kommunaalid,Talve kommunaalid,Tagatisraha,Maakleritasu,Kinnistu number,Parkimine,Lisaruumid,Sanitaar,Lisainfo,Piirangud,Krunt,Lisanduvad kommunaalkulud,tasuline parkimine,tasuta parkimine,maakond
0,"Kaupmehe tn 14, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,"uus viimistlus,uusehitis,valmis",3,2,1,87.3,2,6,"trepikoda lukus,turvasüsteem,turvauks",mööbel,1175.0,energiamärgis määramata,kivimaja,1936,jah,plekk,keskküte,elektripliit,"internet,telefon,digi-TV",konditsioneer,,,,,,,,,,,,,,,,,,,harju
1,"N/A, N/A",N/A,2023-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,harju
2,"Pagi tn 5, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,2,1,1,45.8,4,4,"naabrivalve,videokaamerad,turvauks,trepikoda lukus,turvasüsteem","kinnine hoov,mööbel,mööbli võimalus,Lemmikloomad lubatud,TV,külmik",650.0,B,kivimaja,2022,jah,pvc,"keskküte,põrandaküte",elektripliit,"telefon,internet,digi-TV","sundventilatsioon,kliimaseade",rõdu,10.00,korteriomand,kõik kommunaalteenused,60.00,120.00,650.00,780.00,8650050,"tasuta parkimine,kindel parkimiskoht kinnistul","kelder,panipaik,garderoob","dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,,harju
3,"Tuvi tn 12/1, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,1,93.9,2,8,"turvamees,trepikoda lukus,turvauks","mööbel,külmik",1000.0,D,betoonmaja,2002,jah,rullmaterjal,"keskküte,põrandaküte",elektripliit,"internet,digi-TV,telefon",sundventilatsioon,klaasitud rõdu,8.20,korteriomand,"küte,elekter,kõik kommunaalteenused,vesi",135.00,350.00,1000.00,1200.00,,parkimiskoht maa-aluses garaažis,panipaik,"saun,tsentraalne kanalisatsioon,wc ja vannituba eraldi,pesumasin,dušš",,,,,,,harju
4,"Lai tn 11, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,,2,1,1,34.7,3,3,"trepikoda lukus,turvauks","kinnine hoov,mööbel,külmik",600.0,,kivimaja,,,plekk,gaasiküte,elektripliit,"digi-TV,telefon,internet",,,,korteriomand,"gaas,elekter,kõik kommunaalteenused,vesi,küte",,,600.00,720.00,25654501,,garderoob,"dušš,pesumasin,tsentraalne kanalisatsioon",,,,,,,harju
5,"Kukeseene tee, Patika küla, Rae vald, Harju maakond","Patika küla, Rae vald, Harju maakond",2023-01-13,renoveeritud,3,2,1,80.0,1,3,"turvauks,trepikoda lukus,naabrivalve","eraldi sissepääs,kinnine hoov,mööbel,mööbli võimalus,Lemmikloomad lubatud,TV,külmik",390.0,C,kivimaja,2002,,kivikatus,"ahjuküte,õhksoojuspump,kamin,õhk-vesi soojuspump,põrandaküte",elektripliit,"digi-TV,telefon,internet",,,,korteriomand,kõik kommunaalteenused,50.00,120.00,390.00,,4418302,"kindel parkimiskoht kinnistul,tasuta parkimine","kelder,panipaik,garderoob","tsentraalne kanalisatsioon,dušš,pesumasin",,,,,,,harju
6,"Kiikri tn 2/2, Kadriorg, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,5,4,,174.1,5,5,"naabrivalve,videokaamerad,turvauks,trepikoda lukus","mööbel,külmik",3800.0,B,kivimaja,2018,jah,,"keskküte,põrandaküte",,"kaabel-TV,internet",,rõdu,36.40,korteriomand,,,,,,,,panipaik,"dušš,wc ja vannituba eraldi,vann,saun,pesumasin",,,,,,,harju
7,"Põhja pst 21/2, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-13,valmis,3,2,,62.8,3,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",900.0,B,kivimaja,2009,jah,,keskküte,elektripliit,"telefon,internet",,rõdu,12.20,korteriomand,,,,,,,,,"dušš,vann,pesumasin",,,,,,,harju
8,"Kalaranna tn 8/9, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-13,uusehitis,3,2,,81.0,4,5,"naabrivalve,turvauks,trepikoda lukus","mööbel,külmik",2900.0,B,kivimaja,2022,jah,,"keskküte,põrandaküte",,internet,,rõdu,15.80,korteriomand,,170.00,270.00,,,,,,"dušš,wc ja vannituba eraldi,vann,pesumasin",,,,,,,harju
9,"Suur-Sepa tee 2, Viimsi alevik, Harju maakond","Viimsi alevik, Harju maakond",2023-01-13,,2,1,1,56.3,1,3,,,575.0,energiamärgis määramata,kivimaja,,,,,elektripliit,,,,,,,,,,,,,panipaik,,,,,,,,harju
