,Address,District,Date,Tube,Magamistube,Vannitube,Üldpind,Rõdu,Rõdu pind,Korrus,Korruseid kokku,Omandiõigus,Turvasüsteem,Lisaväärtused,Hind,Energiamärgis,Materjal,Ehitusaasta,Lift,Parkimine,Küte,Sanitaar,Pliit,Seisukord,Lisanduvad kommunaalid,Tagatisraha,Lisaruumid,Suve kommunaalid,Talve kommunaalid,Kinnistu number,Side,Katus,Lisainfo,Ventilatsioon,Krunt,Piirangud,tasuline parkimine,tasuta parkimine,Maakleritasu,Parkimiskohti,Lisanduvad kommunaalkulud,maakond
0,"Järveotsa tee 11, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,65.6,rõdu,5.00,7,9,korteriomand,"videokaamerad,naabrivalve,turvauks,trepikoda lukus",mööbli võimalus,114900.0,D,paneelmaja,1977,jah,tasuta parkimine,keskküte,"dušš,wc ja vannituba eraldi",elektripliit,,,,,,,,,,,,,,,,,,,harju
1,"Pärnu mnt 110, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,39.3,klaasitud rõdu,15.00,7,15,korteriomand,"turvasüsteem,trepikoda lukus",mööbli võimalus,139500.0,D,paneelmaja,2006,jah,parkimiskoht garaažis,keskküte,dušš,elektripliit,uusehitis,kõik kommunaalteenused,700.00,panipaik,,,,,,,,,,,,,,,harju
2,"Põhja tn 16, Keila linn, Harju maakond","Keila linn, Harju maakond",2023-01-14,2,1,,45.4,,,4,4,korteriomand,"naabrivalve,turvauks,trepikoda lukus",,99000.0,B,kivimaja,1967,,,keskküte,"dušš,wc ja vannituba eraldi",,renoveeritud,,,panipaik,100.00,160.00,0,"internet,kaabel-TV",,,,,,,,,,,harju
3,"Pargi tee 3, Peetri alevik, Rae vald, Harju maakond","Peetri alevik, Rae vald, Harju maakond",2023-01-14,3,2,1,73.6,rõdu,8.00,2,3,korteriomand,"turvauks,naabrivalve,trepikoda lukus",mööbel,189000.0,energiamärgis määramata,kivimaja,2006,,kindel parkimiskoht kinnistul,"põrandaküte,gaasiküte","wc ja vannituba eraldi,tsentraalne kanalisatsioon,vann",elektripliit,"valmis,renoveeritud",,,"panipaik,garderoob",,,,"telefon,internet,digi-TV",rullmaterjal,,,,,,,,,,harju
4,"Villardi tn 27-4, Villardi Butiik Maja, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,45.3,,,2,4,korteriomand,,kinnine hoov,208300.0,A,kivimaja,2023,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis","keskküte,õhk-vesi soojuspump,põrandaküte",,,uusehitis,,,,,,,,plekk,Villardi Butiik Maja,sundventilatsioon,,,,,,,,harju
5,"Villardi tn 27-1, Villardi Butiik Maja, Kesklinna linnaosa, Tallinn, Harju maakond","Kesklinna linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,38.0,,,1,4,korteriomand,,kinnine hoov,179000.0,A,kivimaja,2023,,"kindel parkimiskoht kinnistul,parkimiskoht maa-aluses garaažis","põrandaküte,õhk-vesi soojuspump,keskküte",,,uusehitis,,,,,,,,plekk,Villardi Butiik Maja,sundventilatsioon,,,,,,,,harju
6,"Kopli tn 64-5, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,3,2,1,62.4,,,2,3,korteriomand,videokaamerad,"eraldi sissepääs,kinnine hoov",307944.0,A,kivimaja,2022,,kindel parkimiskoht kinnistul,õhk-vesi soojuspump,"dušš,saun",,,,,panipaik,,,,,plekk,Kalamaja Park Residence,sundventilatsioon,,,,,,,,harju
7,"Kopli tn 64-3, Põhja-Tallinna linnaosa, Tallinn, Harju maakond","Põhja-Tallinna linnaosa, Tallinn, Harju maakond",2023-01-14,4,3,1,82.6,,,1,3,korteriomand,videokaamerad,"eraldi sissepääs,kinnine hoov",381612.0,A,kivimaja,2022,,kindel parkimiskoht kinnistul,õhk-vesi soojuspump,"saun,dušš",,,,,panipaik,,,,,plekk,Kalamaja Park Residence,sundventilatsioon,,,,,,,,harju
8,"Päevalille tn 8, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,1,40.5,,,5,18,korteriomand,"trepikoda lukus,turvauks",,157900.0,C,paneelmaja,2022,jah,,"keskküte,põrandaküte",dušš,,uusehitis,,,,,,,internet,,,,,,,,,,,harju
9,"Sõnajala tee 1-28, Järveküla, Rae vald, Harju maakond","Järveküla, Rae vald, Harju maakond",2023-01-14,3,,,68.4,rõdu,5.60,2,3,korteriomand,,,209900.0,,paneelmaja,2023,,,gaasiküte,,,uusehitis,,,panipaik,,,,,,,,9690 m²,,,,,,,harju
10,"Veskilise tn 7-38, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,5,4,,101.3,,,1,3,korteriomand,,,334900.0,,kivimaja,2022,,,keskküte,,,uusehitis,,,,,,,,,,,,,,,,,,harju
11,"Veskilise tn 7-15, Haabersti linnaosa, Tallinn, Harju maakond","Haabersti linnaosa, Tallinn, Harju maakond",2023-01-14,2,1,,52.8,,,3,3,korteriomand,,,181900.0,,kivimaja,2022,,,keskküte,,,uusehitis,,,,,,,,,,,,,,,,,,harju
