,rooms,floors,area_outside,area,link,address,maakond
0,3,2/5,,56 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-laane-tn/6573824,"Laane tn 6-4,Võru linn, Võru maakond",voru
1,2,5/5,,47 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-f-r-kreutzwaldi-tn/3418132,"F. R. Kreutzwaldi tn 26-13,Võru linn, Võru maakond",voru
2,4,5/5,,,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn/8020091,"Võru linn, Võru maakond",voru
3,2,4/4,,38.3 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-lembitu-tn/3460681,"Lembitu tn,Võru linn, Võru maakond",voru
4,2,2/4,,45.6 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-vilja-tn/8084873,"Vilja tn 16-16,Võru linn, Võru maakond",voru
5,2,2/4,,46.6 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-vilja-tn/2462938,"Vilja tn 16b,Võru linn, Võru maakond",voru
6,2,4/5,,43.8 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-koreli-tn/4156003,"Koreli tn 22-23,Võru linn, Võru maakond",voru
7,2,,,41.7 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-petseri-tn/8659657,"Petseri tn 12-31,Võru linn, Võru maakond",voru
8,1,1/5,,27.2 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-petseri-tn/3732998,"Petseri tn 19,Võru linn, Võru maakond",voru
9,1,5/5,,27.3 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-petseri-tn/8050417,"Petseri tn 9,Võru linn, Võru maakond",voru
10,2,,,48.8 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-antsla-vald-uue-antsla-kula/6774281,"Uue-Antsla küla, Antsla vald, Võru maakond",voru
11,3,2/2,,50.2 m²,https://city24.ee/real-estate/apartments-for-sale/rouge-vald-viitina-kula-manni/7554365,"Männi 3,Viitina küla, Rõuge vald, Võru maakond",voru
12,1,3/3,,43.6 m²,https://city24.ee/real-estate/apartments-for-sale/antsla-vald-lusti-kula-pika-tee/3710355,"Pika tee 5,Lusti küla, Antsla vald, Võru maakond",voru
13,3,3/5,,63.4 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-vabaduse-tn/2652855,"Vabaduse tn 2,Võru linn, Võru maakond",voru
14,,,,26 m²,https://city24.ee/real-estate/apartments-for-sale/rouge-vald-varstu-alevik-pilpajarve-tn/5299456,"Pilpajärve tn 4,Varstu alevik, Rõuge vald, Võru maakond",voru
15,3,1/2,,58.6 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-juri-tn/7858529,"Jüri tn 2,Võru linn, Võru maakond",voru
16,2,1/2,,39.2 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-jaama-tn/7889894,"Jaama tn 2-1,Võru linn, Võru maakond",voru
17,3,2/2,,55.3 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-tallinna-mnt/5471099,"Tallinna mnt 21,Võru linn, Võru maakond",voru
18,3,5/5,,63.3 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-olevi-tn/1985519,"Olevi tn 23,Võru linn, Võru maakond",voru
19,2,3/3,,48.3 m²,https://city24.ee/real-estate/apartments-for-sale/voru-vald-vaimela-alevik-pollu-tee/6665122,"Põllu tee 3,Väimela alevik, Võru vald, Võru maakond",voru
20,4,4/5,,73.6 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-kooli-tn/7232862,"Kooli tn 5,Võru linn, Võru maakond",voru
21,4,2/3,,64 m²,https://city24.ee/real-estate/apartments-for-sale/voru-vald-vaimela-alevik-papli-tee/8768851,"Papli tee 1,Väimela alevik, Võru vald, Võru maakond",voru
22,2,1/2,,45.2 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-jaama-tn/9113415,"Jaama tn,Võru linn, Võru maakond",voru
23,4,4/5,,76.4 m²,https://city24.ee/real-estate/apartments-for-sale/voru-maakond-voru-linn-koreli-tn/7172134,"Koreli tn 24,Võru linn, Võru maakond",voru
