,rooms,floors,area_outside,area,link,address,hind,maakond
0,2,4/4,,64.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-videviku-tn/4458360,"Videviku tn 14,Kesklinna linnaosa, Tallinn, Harju maakond",195000,harju
1,4,,,101.1,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-maardu-linn-pirnipuu-pst/1210707,"Pirnipuu pst 194-1, Muuga aedlinn,Maardu linn, Harju maakond",300000,harju
2,1,4/5,,30.1,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-pallasti-tn/7109677,"Pallasti tn 8,Lasnamäe linnaosa, Tallinn, Harju maakond",85000,harju
3,4,2/2,,93.2,https://city24.ee/real-estate/apartments-for-sale/rae-vald-peetri-alevik-tammiku-poik/8611451,"Tammiku põik 3/1,Peetri alevik, Rae vald, Harju maakond",298000,harju
4,2,2/4,,39.6,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-kehra-linn-aia-tn/8373009,"Aia tn 3,Kehra linn, Harju maakond",39500,harju
5,3,2/3,,54.4,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-keila-linn-tuula-tee/7157256,"Tuula tee 2c-9,Keila linn, Harju maakond",179792,harju
6,3,3/3,,54.4,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-keila-linn-tuula-tee/8246945,"Tuula tee 2c-6,Keila linn, Harju maakond",179792,harju
7,2,2/3,,44.7,https://city24.ee/real-estate/apartments-for-sale/saku-vald-tanassilma-kula-nommeliiva-tee/6732513,"Nõmmeliiva tee 3-6,Tänassilma küla, Saku vald, Harju maakond",169860,harju
8,3,2/3,,71,https://city24.ee/real-estate/apartments-for-sale/saku-vald-tanassilma-kula-nommeliiva-tee/7133632,"Nõmmeliiva tee 3-5,Tänassilma küla, Saku vald, Harju maakond",241400,harju
9,4,3/3,,83.8,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-jalami-tn/2805662,"Jalami tn 10/2,Haabersti linnaosa, Tallinn, Harju maakond",311000,harju
10,4,1/4,,83.1,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-jalami-tn/1100384,"Jalami tn 8/2,Haabersti linnaosa, Tallinn, Harju maakond",319000,harju
11,3,1/2,,80.9,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-tallinn-kadriorg/9287190,"Vilmsi,Kadriorg, Tallinn, Harju maakond",530000,harju
12,4,3/3,,79.7,https://city24.ee/real-estate/apartments-for-sale/rae-vald-peetri-alevik-kopli-tee/7143653,"Kopli tee 24,Peetri alevik, Rae vald, Harju maakond",314000,harju
13,2,,,50,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-maakri-tn/9369403,"Maakri tn 36, Kesklinn,Kesklinna linnaosa, Tallinn, Harju maakond",198000,harju
14,2,2/5,,48.6,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-maardu-linn-kallasmaa-tn/9003211,"Kallasmaa tn 15-4,Maardu linn, Harju maakond",83000,harju
15,3,1/4,,72.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-hanijala-tn/7675980,"Hanijala tn 3,Haabersti linnaosa, Tallinn, Harju maakond",189800,harju
16,3,1/3,,71,https://city24.ee/real-estate/apartments-for-sale/saku-vald-tanassilma-kula-nommeliiva-tee/6194831,"Nõmmeliiva tee 3-1,Tänassilma küla, Saku vald, Harju maakond",241400,harju
17,5,,,101,https://city24.ee/real-estate/apartments-for-sale/harku-vald-tiskre-kula-karikakra-tee/5227837,"Karikakra tee 39,Tiskre küla, Harku vald, Harju maakond",307000,harju
18,5,,,113,https://city24.ee/real-estate/apartments-for-sale/harku-vald-tiskre-kula-karikakra-tee/1741067,"Karikakra tee 39,Tiskre küla, Harku vald, Harju maakond",344000,harju
19,3,2/3,,63.6,https://city24.ee/real-estate/apartments-for-sale/rae-vald-rae-kula-dolomiidi-tee/2527267,"Dolomiidi tee 2/1-10,Rae küla, Rae vald, Harju maakond",210905,harju
20,2,3/13,,56.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-lasnamae-tn/9214147,"Lasnamäe tn 4b,Lasnamäe linnaosa, Tallinn, Harju maakond",299000,harju
21,1,2/2,,26,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-suur-sojamae-poik/1106721,"Suur-Sõjamäe põik 3-7, Ülemiste,Lasnamäe linnaosa, Tallinn, Harju maakond",84000,harju
22,4,2/3,,,https://city24.ee/real-estate/apartments-for-sale/harju-maakond-saue-linn-kuuseheki-tn/1509371,"Kuuseheki tn 52,Saue linn, Harju maakond",220000,harju
23,3,4/4,,65.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-haabersti-linnaosa-vanakuu-tn/4556739,"Vanakuu tn 7, Pikaliiva,Haabersti linnaosa, Tallinn, Harju maakond",237000,harju
24,3,1/9,,65,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-m-harma-tn/1816545,"M. Härma tn 1-1,Lasnamäe linnaosa, Tallinn, Harju maakond",159900,harju
25,3,3/4,,90.1,https://city24.ee/real-estate/apartments-for-sale/tallinn-pirita-linnaosa-padriku-tee/2244576,"Padriku tee 4/5,Pirita linnaosa, Tallinn, Harju maakond",255000,harju
26,3,2/3,,62.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kopli-tn/2960653,"Kopli tn 64-5,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",307944,harju
27,4,1/3,,82.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kopli-tn/2980368,"Kopli tn 64-3,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",381612,harju
28,3,1/5,,44,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-pae-tn/7573090,"Pae tn 22,Lasnamäe linnaosa, Tallinn, Harju maakond",105000,harju
29,3,5/7,,76.6,https://city24.ee/real-estate/apartments-for-sale/tallinn-kesklinna-linnaosa-narva-mnt/7922119,"Narva mnt 2,Kesklinna linnaosa, Tallinn, Harju maakond",240000,harju
30,2,1/5,,43.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-sopruse-pst/4087225,"Sõpruse pst 236,Mustamäe linnaosa, Tallinn, Harju maakond",105000,harju
31,1,5/5,,30.4,https://city24.ee/real-estate/apartments-for-sale/tallinn-mustamae-linnaosa-ehitajate-tee/2538854,"Ehitajate tee 49,Mustamäe linnaosa, Tallinn, Harju maakond",82000,harju
32,3,4/5,,66.5,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-vikerlase-tn/5244529,"Vikerlase tn 26,Lasnamäe linnaosa, Tallinn, Harju maakond",125900,harju
33,4,5/5,,107,https://city24.ee/real-estate/apartments-for-sale/tallinn-pohja-tallinna-linnaosa-kari-tn/7885369,"Kari tn 24, Pelguranna,Põhja-Tallinna linnaosa, Tallinn, Harju maakond",347500,harju
34,3,4/9,,,https://city24.ee/real-estate/apartments-for-sale/tallinn-lasnamae-linnaosa-kihnu-tn/3284492,"Kihnu tn 18,Lasnamäe linnaosa, Tallinn, Harju maakond",124999,harju
