,url,hind,aadress,description,Tube,Magamistube,Üldpind,Energiamärgis,Korruseid,Korrus,hind_m2
0,https://www.kv.ee/muua-uus-stiilselt-ja-kvaliteetselt-mobleeritud-3t-3425117.html,350000.0," Pille tn 4/1, Uus-Veerenni, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, paneelmaja<br/><br/><strong>Lisainfo:</strong> rõdu 10,8 m², mööbel, pakettaknad, parkett, lift, parkimine tasuta, maa-alune garaaž, panipaik, seinakapp, uus elektrijuhtmestik, kõrged laed, TV, terrass, toad eraldi <br/><strong>Köök:</strong> induktsioon pliit, avatud köök, külmik, köögimööbel <br/><strong>Sanruum:</strong> wc ja vannituba eraldi, dušš, uus torustik, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> keskküte, põrandaküte <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, turvauks, trepikoda lukus <br/><strong>Ümbrus:</strong> ümbruses korterelamud, asub keskuses, teed heas seisukorras, naabrid ümberringi <br/></p>",3,2.0,65.9,B,4,1,5311.0773899848255
1,https://www.kv.ee/ajaloolise-volta-kvartali-uute-etappide-muuk-on-al-3403733.html,579900.0," Uus-Volta 9-25, Kalamaja, Põhja-Tallinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> rõdu , elekter, garderoob, kinnine hoov, uus elektrijuhtmestik, parkimine tasuline, kõrged laed, ühistransport, vesi, panipaik, tsentraalne vesi, parkett, planeering läbi mitme korruse, garaaž, aiaga ümbritsetud <br/><strong>Köök:</strong> avatud köök <br/><strong>Sanruum:</strong> uus torustik, vann, saun, dušš, wc ja vannituba eraldi <br/><strong>Küte ja ventilatsioon:</strong> põrandaküte, põrandaküte, keskküte <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, turvauks, naabrivalve, trepikoda lukus <br/><strong>Ümbrus:</strong> asub keskuses, ümbruses korterelamud, meri lähedal <br/></p>",4,3.0,120.3,C,3,1,4820.4488778054865
2,https://www.kv.ee/muua-kaunite-vaadetega-valguskullane-ja-mobleeritu-3304618.html,249000.0," Narva maantee 9, Sadama, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> rõdu , köök, TV, mööbel, parkett, planeering läbi mitme korruse, toad eraldi, panipaik, ühistransport, tsentraalne vesi, elekter, lift, sileplekk-katus <br/><strong>Köök:</strong> elektripliit, avatud köök, külmik <br/><strong>Sanruum:</strong> saun, wc ja vannituba eraldi, dušš, boiler, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> keskküte, kamin <br/><strong>Side ja turvalisus:</strong> kaabelTV, valvesüsteem paigaldatud, turvauks, trepikoda lukus <br/></p>",3,1.0,74.0,Puudub,7,6,3364.864864864865
3,https://www.kv.ee/muua-kvalitseetselt-ja-labimoeldult-renoveeritud-s-3430257.html,205000.0," Liivalaia tn 16, Veerenni, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> kinnine hoov, toad eraldi, mööbli võimalus, mööbel, pakettaknad, parkett, panipaik, seinakapp, uus elektrijuhtmestik, kõrged laed <br/><strong>Köök:</strong> elektripliit, külmik, köögimööbel <br/><strong>Sanruum:</strong> uus torustik, dušš, boiler, pesumasin <br/><strong>Küte ja ventilatsioon:</strong> keskküte, põrandaküte, kombineeritud küte <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, turvauks, trepikoda lukus <br/><strong>Ümbrus:</strong> naabrid ümberringi, ümbruses korterelamud, asub keskuses, teed heas seisukorras <br/></p>",3,2.0,52.4,F,4,1,3912.2137404580153
4,https://www.kv.ee/paraja-suurusega-3toaline-korter-sadama-asumi-vaik-3426841.html,279900.0," Tuukri 1b-58, Kesklinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> maa-alune garaaž, panipaik, toad eraldi, mööbel, ventilatsioon, vesi, kanalisatsioon, garderoob, tsentraalne vesi, lift, rullmaterjalist katus <br/><strong>Köök:</strong> elektripliit, avatud köök, köögimööbel <br/><strong>Sanruum:</strong> wc ja vannituba eraldi <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> Internet, trepikoda lukus <br/></p>",3,2.0,62.6,B,6,4,4471.246006389776
5,https://www.kv.ee/ajaloolise-volta-kvartali-uute-etappide-muuk-on-al-3403771.html,242900.0," Mootori 7/3-14, Kalamaja, Põhja-Tallinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> rõdu , tsentraalne vesi, uus elektrijuhtmestik, kõrged laed, planeering läbi mitme korruse, kinnine hoov, vesi, parkimine tasuline, panipaik, ühistransport, parkett, garaaž, lift, elekter, garderoob <br/><strong>Köök:</strong> avatud köök <br/><strong>Sanruum:</strong> uus torustik, dušš <br/><strong>Küte ja ventilatsioon:</strong> põrandaküte, põrandaküte, keskküte <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, turvauks, trepikoda lukus, naabrivalve <br/><strong>Ümbrus:</strong> ümbruses korterelamud, meri lähedal, asub keskuses <br/></p>",2,1.0,47.1,A,5,2,5157.112526539278
6,https://www.kv.ee/ajaloolise-volta-kvartali-uute-etappide-muuk-on-al-3403782.html,247900.0," Mootori 7/3-21, Kalamaja, Põhja-Tallinn, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> rõdu , tsentraalne vesi, uus elektrijuhtmestik, kõrged laed, planeering läbi mitme korruse, kinnine hoov, vesi, parkimine tasuline, panipaik, ühistransport, parkett, garaaž, lift, elekter, garderoob <br/><strong>Köök:</strong> avatud köök <br/><strong>Sanruum:</strong> uus torustik, dušš <br/><strong>Küte ja ventilatsioon:</strong> põrandaküte, põrandaküte, keskküte <br/><strong>Side ja turvalisus:</strong> Internet, kaabelTV, turvauks, trepikoda lukus, naabrivalve <br/><strong>Ümbrus:</strong> ümbruses korterelamud, meri lähedal, asub keskuses <br/></p>",2,1.0,46.1,A,5,3,5377.440347071583
8,https://www.kv.ee/muua-2toaline-korter-mustamae-roheluses-otse-sutis-3429816.html,99900.0," J. Sütiste tee 37, Mustamäe, Tallinn, Harjumaa","<p>Korteriomand<br/><br/><strong>Lisainfo:</strong> parkimine tasuta, seinakapp, mööbel, pakettaknad, lift <br/><strong>Köök:</strong> gaasipliit, külmik, köögimööbel <br/><strong>Sanruum:</strong> vann, wc ja vannituba eraldi <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> Internet, telefon, kaabelTV, trepikoda lukus <br/></p>",2,1.0,43.1,C,9,5,2317.8654292343385
9,https://www.kv.ee/tallinna-lauluvaljakust-vaid-kilomeetri-kaugusele-3345420.html,179000.0," Paevälja pst 11-3, Lasnamäe, Tallinn, Harjumaa","<p>Korteriomand, kivimaja<br/><br/><strong>Lisainfo:</strong> vesi, kanalisatsioon, kõrged laed, ventilatsioon, tsentraalne vesi <br/><strong>Köök:</strong> elektripliit, avatud köök <br/><strong>Sanruum:</strong> dušš <br/><strong>Küte ja ventilatsioon:</strong> keskküte, põrandaküte, põrandaküte <br/><strong>Side ja turvalisus:</strong> turvauks, trepikoda lukus <br/></p>",2,1.0,46.0,B,8,1,3891.304347826087
11,https://www.kv.ee/muua-vaga-heas-korras-maitsekas-ja-valguskullane-n-3428732.html,299000.0," Paepargi 21-3, Lasnamäe, Tallinn, Harjumaa","<p>Korteriomand, paneelmaja<br/><br/><strong>Lisainfo:</strong> köök, mööbel, garderoob, ventilatsioon <br/><strong>Köök:</strong> avatud köök <br/><strong>Küte ja ventilatsioon:</strong> keskküte <br/><strong>Side ja turvalisus:</strong> trepikoda lukus <br/></p>",4,3.0,101.2,B,4,1,2954.5454545454545
